Source,ID,Type,DOI,Title,Authors,Journal,Year,Abstract,Updated Abstract,LitmapsId,Cited By,References,PubMedId,Tags,File Source,URL,pages
Litmap,,,10.18653/v1/2021.eacl-main.44,Improving Factual Consistency Between a Response and Persona Facts,"Mohsen Mesgar, Edwin Simpson, Iryna Gurevych",(missing journal),2021,Neural models for response generation produce responses that are semantically plausible but not necessarily factually consistent with facts describing the speaker’s persona. These models are trained with fully supervised learning where the objective function barely captures factual consistency. We propose to fine-tune these models by reinforcement learning and an efficient reward function that explicitly captures the consistency between a response and persona facts as well as semantic plausibility. Our automatic and human evaluations on the PersonaChat corpus confirm that our approach increases the rate of responses that are factually consistent with persona facts over its supervised counterpart while retains the language quality of responses.,,109308838,32,28,,,,,
Litmap,,,10.48550/arxiv.2210.06440,The Devil is in the Details: On Models and Training Regimes for Few-Shot Intent Classification,"Mohsen Mesgar, Thy Thy Tran, Goran Glavas, Iryna Gurevych",ArXiv,2022,"In task-oriented dialog (ToD) new intents emerge on regular basis, with a handful of available utterances at best. This renders effective Few-Shot Intent Classification (FSIC) a central challenge for modular ToD systems. Recent FSIC methods appear to be similar: they use pretrained language models (PLMs) to encode utterances and predominantly resort to nearest-neighbor-based inference. However, they also differ in major components: they start from different PLMs, use different encoding architectures and utterance similarity functions, and adopt different training regimes.Coupling of these vital components together with the lack of informative ablations prevents the identification of factors that drive the (reported) FSIC performance. We propose a unified framework to evaluate these components along the following key dimensions:(1) Encoding architectures: Cross-Encoder vs Bi-Encoders;(2) Similarity function: Parameterized (i.e., trainable) vs non-parameterized; (3) Training regimes: Episodic meta-learning vs conventional (i.e., non-episodic) training. Our experimental results on seven FSIC benchmarks reveal three new important findings. First, the unexplored combination of cross-encoder architecture and episodic meta-learning consistently yields the best FSIC performance. Second, episodic training substantially outperforms its non-episodic counterpart. Finally, we show that splitting episodes into support and query sets has a limited and inconsistent effect on performance. Our findings show the importance of ablations and fair comparisons in FSIC. We publicly release our code and data.",,255216307,3,41,,,,,
Litmap,,,10.48550/arxiv.2306.06662,EaSyGuide : ESG Issue Identification Framework leveraging Abilities of Generative Large Language Models,"Hanwool Lee, Jonghyun Choi, Sohyeon Kwon, Sungbum Jung",arXiv.org,2023,"This paper presents our participation in the FinNLP-2023 shared task on multi-lingual environmental, social, and corporate governance issue identification (ML-ESG). The task's objective is to classify news articles based on the 35 ESG key issues defined by the MSCI ESG rating guidelines. Our approach focuses on the English and French subtasks, employing the CerebrasGPT, OPT, and Pythia models, along with the zero-shot and GPT3Mix Augmentation techniques. We utilize various encoder models, such as RoBERTa, DeBERTa, and FinBERT, subjecting them to knowledge distillation and additional training. Our approach yielded exceptional results, securing the first position in the English text subtask with F1-score 0.69 and the second position in the French text subtask with F1-score 0.78. These outcomes underscore the effectiveness of our methodology in identifying ESG issues in news articles across different languages. Our findings contribute to the exploration of ESG topics and highlight the potential of leveraging advanced language models for ESG issue identification.",,262677626,3,14,,,,,
Litmap,,,10.18653/v1/2023.acl-long.799,Python Code Generation by Asking Clarification Questions,"Haau-Sing Li, Mohsen Mesgar, André F. T. Martins, Iryna Gurevych",Annual Meeting of the Association for Computational Linguistics,2022,"Code generation from text requires understanding the user’s intent from a natural languagedescription and generating an executable code snippet that satisfies this intent. While recent pretrained language models demonstrate remarkable performance for this task, these models fail when the given natural language description is under-specified. In this work, we introduce a novel and more realistic setup for this task. We hypothesize that the under-specification of a natural language description can be resolved by asking clarification questions. Therefore, we collect and introduce a new dataset named CodeClarQA containing pairs of natural language descriptions and code with created synthetic clarification questions and answers. The empirical results of our evaluation of pretrained language model performance on code generation show that clarifications result in more precisely generated code, as shown by the substantial improvement of model performance in all evaluation metrics. Alongside this, our task and dataset introduce new challenges to the community, including when and what clarification questions should be asked. Our code and dataset are available on GitHub.",,263542524,13,43,,,,,
Litmap,,,10.18653/v1/2023.acl-long.425,A Dataset of Argumentative Dialogues on Scientific Papers,"Federico Ruggeri, Mohsen Mesgar, Iryna Gurevych",Annual Meeting of the Association for Computational Linguistics,2023,"With recent advances in question-answering models, various datasets have been collected to improve and study the effectiveness of these models on scientific texts. Questions and answers in these datasets explore a scientific paper by seeking factual information from the paper’s content. However, these datasets do not tackle the argumentative content of scientific papers, which is of huge importance in persuasiveness of a scientific discussion. We introduce ArgSciChat, a dataset of 41 argumentative dialogues between scientists on 20 NLP papers. The unique property of our dataset is that it includes both exploratory and argumentative questions and answers in a dialogue discourse on a scientific paper. Moreover, the size of ArgSciChat demonstrates the difficulties in collecting dialogues for specialized domains.Thus, our dataset is a challenging resource to evaluate dialogue agents in low-resource domains, in which collecting training data is costly. We annotate all sentences of dialogues in ArgSciChat and analyze them extensively. The results confirm that dialogues in ArgSciChat include exploratory and argumentative interactions. Furthermore, we use our dataset to fine-tune and evaluate a pre-trained document-grounded dialogue agent. The agent achieves a low performance on our dataset, motivating a need for dialogue agents with a capability to reason and argue about their answers. We publicly release ArgSciChat.",,263647358,14,36,,,,,
Litmap,,,10.48550/arxiv.2309.02189,Leveraging BERT Language Models for Multi-Lingual ESG Issue Identification,"E. L. Pontes, Mohamed Benjannet, Lam Kim Ming",FINNLP,2023,"Environmental, Social, and Governance (ESG) has been used as a metric to measure the negative impacts and enhance positive outcomes of companies in areas such as the environment, society, and governance. Recently, investors have increasingly recognized the significance of ESG criteria in their investment choices, leading businesses to integrate ESG principles into their operations and strategies. The Multi-Lingual ESG Issue Identification (ML-ESG) shared task encompasses the classification of news documents into 35 distinct ESG issue labels. In this study, we explored multiple strategies harnessing BERT language models to achieve accurate classification of news documents across these labels. Our analysis revealed that the RoBERTa classifier emerged as one of the most successful approaches, securing the second-place position for the English test dataset, and sharing the fifth-place position for the French test dataset. Furthermore, our SVM-based binary model tailored for the Chinese language exhibited exceptional performance, earning the second-place rank on the test dataset.",,264967598,9,13,,,,,
Litmap,,,10.48550/arxiv.2310.18073,A Scalable Framework for Table of Contents Extraction from Complex ESG Annual Reports,"Xinyu Wang, Lin Gui, Yulan He",Conference on Empirical Methods in Natural Language Processing,2023,"Table of contents (ToC) extraction centres on structuring documents in a hierarchical manner. In this paper, we propose a new dataset, ESGDoc, comprising 1,093 ESG annual reports from 563 companies spanning from 2001 to 2022. These reports pose significant challenges due to their diverse structures and extensive length. To address these challenges, we propose a new framework for Toc extraction, consisting of three steps: (1) Constructing an initial tree of text blocks based on reading order and font sizes; (2) Modelling each tree node (or text block) independently by considering its contextual information captured in node-centric subtree; (3) Modifying the original tree by taking appropriate action on each tree node (Keep, Delete, or Move). This construction-modelling-modification (CMM) process offers several benefits. It eliminates the need for pairwise modelling of section headings as in previous approaches, making document segmentation practically feasible. By incorporating structured information, each section heading can leverage both local and long-distance context relevant to itself. Experimental results show that our approach outperforms the previous state-of-the-art baseline with a fraction of running time. Our framework proves its scalability by effectively handling documents of any length.",,265621557,3,0,,,,,
Litmap,,,10.18653/v1/2023.findings-emnlp.949,Is the Answer in the Text? Challenging ChatGPT with Evidence Retrieval from Instructive Text,"Sophie Henning, Talita Anthonio, Wei Zhou, Heike Adel, Mohsen Mesgar, Annemarie Friedrich",Conference on Empirical Methods in Natural Language Processing,2023,"Generative language models have recently shown remarkable success in generating answers to questions in a given textual context. However, these answers may suffer from hal-lucination, wrongly cite evidence, and spread misleading information. In this work, we address this problem by employing ChatGPT, a state-of-the-art generative model, as a machine-reading system. We ask it to retrieve answers to lexically varied and open-ended questions from trustworthy instructive texts. We introduce WHERE ( W iki H ow E vidence RE trieval), a new high-quality evaluation benchmark of a set of WikiHow articles exhaustively annotated with evidence sentences to questions that comes with a special challenge: All questions are about the article’s topic, but not all can be answered using the provided context. We interestingly find that when us-ing a regular question-answering prompt, Chat-GPT neglects to detect the unanswerable cases. When provided with a few examples, it learns to better judge whether a text provides answer evidence. Alongside this important finding, our dataset defines a new benchmark for evidence retrieval in question answering, which we argue is one of the necessary next steps for making large language models more trustworthy.",,267056379,0,27,,,,,
Litmap,,,10.48550/arxiv.2402.10772,Enhancing ESG Impact Type Identification through Early Fusion and Multilingual Models,"Hariram Veeramani, Surendrabikram Thapa, Usman Naseem",arXiv.org,2024,"In the evolving landscape of Environmental, Social, and Corporate Governance (ESG) impact assessment, the ML-ESG-2 shared task proposes identifying ESG impact types. To address this challenge, we present a comprehensive system leveraging ensemble learning techniques, capitalizing on early and late fusion approaches. Our approach employs four distinct models: mBERT, FlauBERT-base, ALBERT-base-v2, and a Multi-Layer Perceptron (MLP) incorporating Latent Semantic Analysis (LSA) and Term Frequency-Inverse Document Frequency (TF-IDF) features. Through extensive experimentation, we find that our early fusion ensemble approach, featuring the integration of LSA, TF-IDF, mBERT, FlauBERT-base, and ALBERT-base-v2, delivers the best performance. Our system offers a comprehensive ESG impact type identification solution, contributing to the responsible and sustainable decision-making processes vital in today's financial and corporate governance landscape.",,269677492,5,23,,,,,
Litmap,,,(missing DOI),Textual Evidence Extraction for ESG Scores,"Naoki Kannan, Yohei Seki",FINNLP,2023,(missing abstract),"With the growing importance of environmen- tal, social, and governance (ESG) informa- tion, ESG scores, which have been rated and published by various institutions, are used for investment decisions or corporate evaluation. The evidence for rating high or low ESG scores, however, is often vague and unclear. In this pa- per, we propose a method to extract the textual evidence of ESG scores by automatically label- ing sentences with information related to ESG. Specifically, we constructed two labeling mod- els for ESG and ESG sentiment, and extracted sentences with high confidence levels using the two models. At first, to label ESG-related information, we developed the annotation cor- pus using Japanese annual securities reports. Then, we constructed the labeling models by fine-tuning a large language model that was pre-trained on financial documents. The exper- imental results showed that the macro average F1 scores using the BERT model pre-trained on Japanese financial documents, were 0.874 for ESG labeling and 0.797 for ESG sentiment labeling respectively. These values were higher than those obtained using the comparative mod- els that were pre-trained on Wikipedia docu- ments only. We also confirmed that textual evidence for the ESG scores can be effectively extracted for the companies not included in the training dataset.",269692734,11,12,,,,https://aclanthology.org/2023.finnlp-1.4.pdf,
