DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.18653/v1/2025.xllm-1.23,LLMSR@XLLM25: Less is More: Enhancing Structured Multi-Agent Reasoning via Quality-Guided Distillation,"Jiahao Yuan, Xingzhe Sun, Xing Yu, Jingwen Wang, Dehui Du, Zhiqing Cui, Zixiang Di",Proceedings of the 1st Joint Workshop on Large Language Models and Structure Modeling (XLLM 2025),2025,"The LLMSR@XLLM25 formulates a low-resource structural reasoning task that challenges LLMs to generate interpretable, step-by-step rationales with minimal labeled data. We present Less is More, the third-place winning approach in the LLMSR@XLLM25, which focuses on structured reasoning from only 24 labeled examples. Our approach leverages a multi-agent framework with reverse-prompt induction, retrieval-augmented reasoning synthesis via GPT-4o, and dual-stage reward-guided filtering to distill high-quality supervision across three subtasks: question parsing, CoT parsing, and step-level verification. All modules are fine-tuned from Meta-Llama-3-8B-Instruct under a unified LoRA+ setup. By combining structure validation with reward filtering across few-shot and zero-shot prompts, our pipeline consistently improves structure reasoning quality. These results underscore the value of controllable data distillation in enhancing structured inference under low-resource constraints. Our code is available at https://github.com/JhCircle/Less-is-More.",286944529,0,11,,
10.18653/v1/2025.xllm-1.14,Typed-RAG: Type-Aware Decomposition of Non-Factoid Questions for Retrieval-Augmented Generation,"DongGeon Lee, Ahjeong Park, Hyeri Lee, Hyeonseo Nam, Yunho Maeng",Proceedings of the 1st Joint Workshop on Large Language Models and Structure Modeling (XLLM 2025),2025,"Addressing non-factoid question answering (NFQA) remains challenging due to its open-ended nature, diverse user intents, and need for multi-aspect reasoning. These characteristics often reveal the limitations of conventional retrieval-augmented generation (RAG) approaches. To overcome these challenges, we propose Typed-RAG, a framework for type-aware decomposition of non-factoid questions (NFQs) within the RAG paradigm. Specifically, Typed-RAG first classifies an NFQ into a predefined type (e.g., Debate, Experience, Comparison). It then decomposes the question into focused sub-queries, each focusing on a single aspect. This decomposition enhances both retrieval relevance and answer quality. By combining the results of these sub-queries, Typed-RAG produces more informative and contextually aligned responses. Additionally, we construct Wiki-NFQA, a benchmark dataset for NFQA covering a wide range of NFQ types. Experiments show that Typed-RAG consistently outperforms existing QA approaches based on LLMs or RAG methods, validating the effectiveness of type-aware decomposition for improving both retrieval quality and answer generation in NFQA. Our code and dataset are available on https://github.com/TeamNLP/Typed-RAG.",289346371,2,28,,
10.18653/v1/2025.xllm-1.26,DocIE@XLLM25: In-Context Learning for Information Extraction using Fully Synthetic Demonstrations,"Nicholas Popovivc, Ashish Kangen, Tim Schopf, Michael Farber",Proceedings of the 1st Joint Workshop on Large Language Models and Structure Modeling (XLLM 2025),2025,"Large, high-quality annotated corpora remain scarce in document-level entity and relation extraction in zero-shot or few-shot settings. In this paper, we present a fully automatic, LLM-based pipeline for synthetic data generation and in-context learning for document-level entity and relation extraction. In contrast to existing approaches that rely on manually annotated demonstrations or direct zero-shot inference, our method combines synthetic data generation with retrieval-based in-context learning, using a reasoning-optimized language model. This allows us to build a high-quality demonstration database without manual annotation and to dynamically retrieve relevant examples at inference time. Based on our approach we produce a synthetic dataset of over $5k$ Wikipedia abstracts with approximately $59k$ entities and $30k$ relation triples. Finally, we evaluate in-context learning performance on the DocIE shared task, extracting entities and relations from long documents in a zero-shot setting. We find that in-context joint entity and relation extraction at document-level remains a challenging task, even for state-of-the-art large language models.",289416135,0,7,,
10.18653/v1/2025.xllm-1.3,Injecting Structured Knowledge into LLMs via Graph Neural Networks,"Zichao Li, Zong Ke, Puning Zhao",(missing journal),2025,(missing abstract),289430303,0,0,,
10.18653/v1/2025.xllm-1.11,Enhancing AMR Parsing with Group Relative Policy Optimization,"Botond Barta, Endre Hamerlik, Milán Konor Nyist, Masato Ito, Judit Ács",(missing journal),2025,(missing abstract),289430307,0,0,,
10.18653/v1/2025.xllm-1.20,Transfer of Structural Knowledge from Synthetic Languages,"М. Ю. Будников, Ivan P. Yamshchikov",(missing journal),2025,(missing abstract),289430315,0,0,,
10.18653/v1/2025.xllm-1.29,LLMSR@XLLM25: SWRV: Empowering Self-Verification of Small Language Models through Step-wise Reasoning and Verification,D. Chen,(missing journal),2025,(missing abstract),289430317,0,0,,
10.18653/v1/2025.xllm-1.19,Cross-Document Event-Keyed Summarization,"William E. Walden, Pavlo Kuchmiichuk, Alexander Martin, C. Q. Jin, Angela Cao, Claire Sun, C. F. H. Allen, Aaron Steven White",(missing journal),2025,(missing abstract),289446229,0,0,,
10.18653/v1/2025.xllm-1.30,LLMSR@XLLM25: An Empirical Study of LLM for Structural Reasoning,"Xinye Li, Mingqi Wan, Dianbo Sui",(missing journal),2025,(missing abstract),289462245,0,0,,
10.18653/v1/2025.xllm-1.16,Can LLMs Interpret and Leverage Structured Linguistic Representations? A Case Study with AMRs,"Ankush Raut, Xiaofeng Zhu, María Leonor Pacheco",(missing journal),2025,(missing abstract),289462289,0,0,,
10.18653/v1/2025.xllm-1.2,Benchmarking Table Extraction: Multimodal LLMs vs Traditional OCR,"Guilherme Nunes, Vitor Rolla, Duarte Pereira, Vasco Alves, André V. Carreiro, Márcia L. Baptista",(missing journal),2025,(missing abstract),289474579,0,0,,
10.18653/v1/2025.xllm-1.26,DocIE@XLLM25: In-Context Learning for Information Extraction using Fully Synthetic Demonstrations,"Nicholas Popovič, Ashish Kangen, Tim Schopf, Michael Färber",Proceedings of the 1st Joint Workshop on Large Language Models and Structure Modeling (XLLM 2025),2025,"Large, high-quality annotated corpora remain scarce in document-level entity and relation extraction in zero-shot or few-shot settings. In this paper, we present a fully automatic, LLM-based pipeline for synthetic data generation and in-context learning for document-level entity and relation extraction. In contrast to existing approaches that rely on manually annotated demonstrations or direct zero-shot inference, our method combines synthetic data generation with retrieval-based in-context learning, using a reasoning-optimized language model. This allows us to build a high-quality demonstration database without manual annotation and to dynamically retrieve relevant examples at inference time. Based on our approach we produce a synthetic dataset of over $5k$ Wikipedia abstracts with approximately $59k$ entities and $30k$ relation triples. Finally, we evaluate in-context learning performance on the DocIE shared task, extracting entities and relations from long documents in a zero-shot setting. We find that in-context joint entity and relation extraction at document-level remains a challenging task, even for state-of-the-art large language models.",289474582,0,7,,
10.18653/v1/2025.xllm-1.5,From Syntax to Semantics: Evaluating the Impact of Linguistic Structures on LLM-Based Information Extraction,"Anushka Swarup, Avanti Bhandarkar, Ronald S. Wilson, Tian Pan, Damon L. Woodard",(missing journal),2025,(missing abstract),289474602,0,0,,
10.18653/v1/2025.xllm-1.8,Self-Contrastive Loop of Thought Method for Text-to-SQL Based on Large Language Model,"Fengrui Kang, Mingxi Tan, Xianying Huang, Simon X. Yang",(missing journal),2025,(missing abstract),289482687,0,0,,
10.18653/v1/2025.xllm-1.28,DocIE@XLLM25: UIEPrompter: A Unified Training-Free Framework for universal document-level information extraction via Structured Prompt,"Chengfeng Qiu, Lifeng Zhou, K. Wei, Yuke Li",(missing journal),2025,(missing abstract),289482688,0,0,,
10.18653/v1/2025.xllm-1.10,Seamlessly Integrating Tree-Based Positional Embeddings into Transformer Models for Source Code Representation,"Patryk Bartkowiak, Filip Graliński",arXiv (Cornell University),2025,"Transformer-based models have demonstrated significant success in various source code representation tasks. Nonetheless, traditional positional embeddings employed by these models inadequately capture the hierarchical structure intrinsic to source code, typically represented as Abstract Syntax Trees (ASTs). To address this, we propose a novel tree-based positional embedding approach that explicitly encodes hierarchical relationships derived from ASTs, including node depth and sibling indices. These hierarchical embeddings are integrated into the transformer architecture, specifically enhancing the CodeBERTa model. We thoroughly evaluate our proposed model through masked language modeling (MLM) pretraining and clone detection fine-tuning tasks. Experimental results indicate that our Tree-Enhanced CodeBERTa consistently surpasses the baseline model in terms of loss, accuracy, F1 score, precision, and recall, emphasizing the importance of incorporating explicit structural information into transformer-based representations of source code.",289498521,0,0,,
10.18653/v1/2025.xllm-1.17,LLM Dependency Parsing with In-Context Rules,"Michael Ginn, Alexis Palmer",(missing journal),2025,(missing abstract),289506417,0,0,,
10.18653/v1/2025.xllm-1.31,LLMSR@XLLM25: A Language Model-Based Pipeline for Structured Reasoning Data Construction,"Huaifei Xing, Xinzhang Liu, Jiang Zhu, Zhihao Yang, Yitong Yao, Zihan Wang, Wenmin Deng, Chao Wang, Shuangyong Song, Yang Wang, Zhongjiang He, Yongxiang Li",(missing journal),2025,(missing abstract),289506423,2,0,,
10.18653/v1/2025.xllm-1.21,Language Models are Universal Embedders,"Xin Zhang, Zehan Li, Yanzhao Zhang, Dingkun Long, Pengjun Xie, Meishan Zhang, Min Zhang",(missing journal),2025,(missing abstract),289506424,0,0,,
10.18653/v1/2025.xllm-1.7,Exploring Multilingual Probing in Large Language Models: A Cross-Language Analysis,"Daoyang Li, Haiyan Zhao, Qingcheng Zeng, Mengnan Du",(missing journal),2025,(missing abstract),289514460,0,0,,
10.18653/v1/2025.xllm-1.22,DiaDP@XLLM25: Advancing Chinese Dialogue Parsing via Unified Pretrained Language Models and Biaffine Dependency Scoring,"Shuoqiu Duan, Xiaoliang Chen, Duoqian Miao, Xu Gu, Xianyong Li, Yajun Du",(missing journal),2025,(missing abstract),289522412,0,0,,
10.18653/v1/2025.xllm-1.32,SpeechEE@XLLM25: Retrieval-Enhanced Few-Shot Prompting for Speech Event Extraction,Máté Gedeon,(missing journal),2025,(missing abstract),289522413,0,0,,
10.18653/v1/2025.xllm-1.4,Regular-pattern-sensitive CRFs for Distant Label Interactions,"Sean Papay, Roman Klinger, Sebastian Padó",(missing journal),2025,(missing abstract),289522416,0,0,,
10.18653/v1/2025.xllm-1.0,Front Matter,"Fei Hao, Kewei Tu, Yuhui Zhang, Xiang Hu, Wenjuan Han, Zixia Jia, Zilong Zheng, Yang Cao, Meishan Zhang, Wei Lü, N. Siddharth, Lilja Øvrelid, Nianwen Xue, Yue Zhang",(missing journal),2025,(missing abstract),289530322,0,0,,
10.18653/v1/2025.xllm-1.6,Detecting Referring Expressions in Visually Grounded Dialogue with Autoregressive Language Models,"Bram Willemsen, Gabriel Skantze",(missing journal),2025,(missing abstract),289538241,0,0,,
10.18653/v1/2025.xllm-1.27,LLMSR@XLLM25: Integrating Reasoning Prompt Strategies with Structural Prompt Formats for Enhanced Logical Inference,"Le Thai Tai, Thìn Đặng Văn",(missing journal),2025,(missing abstract),289538248,0,0,,
10.18653/v1/2025.xllm-1.13,BARTABSA++: Revisiting BARTABSA with Decoder LLMs,"Jan Pfister, Tom Völker, Anton Vlasjuk, Andreas Hotho",(missing journal),2025,(missing abstract),289546123,0,0,,
10.18653/v1/2025.xllm-1.24,SpeechEE@XLLM25: End-to-End Structured Event Extraction from Speech,"S. Chaudhuri, Deepankar Biswas, Dipanjan Saha, Dipankar Das, Sivaji Bandyopadhyay",(missing journal),2025,(missing abstract),289546124,0,0,,
10.18653/v1/2025.xllm-1.1,Fine-Tuning Large Language Models for Relation Extraction within a Retrieval-Augmented Generation Framework,"Şefika Efeoğlu, Adrian Paschke",(missing journal),2025,(missing abstract),289546126,0,0,,
10.18653/v1/2025.xllm-1.12,Structure Modeling Approach for UD Parsing of Historical Modern Japanese,"Hiroaki Ozaki, Mai Omura, Kanako Komiya, Masayuki Asahara, Toshinobu Ogiso",(missing journal),2025,(missing abstract),289553982,0,0,,
10.18653/v1/2025.xllm-1.18,Cognitive Mirroring for DocRE: A Self-Supervised Iterative Reflection Framework with Triplet-Centric Explicit and Implicit Feedback,"Xu Han, Bo Wang, Yueheng Sun, Dongming Zhao, Zongfeng Qu, Ruifang He, Yuexian Hou, Qinghua Hu",(missing journal),2025,(missing abstract),289561941,0,0,,
10.18653/v1/2025.xllm-1.15,Do we still need Human Annotators? Prompting Large Language Models for Aspect Sentiment Quad Prediction,"Nils Constantin Hellwig, Jakob Fehle, Udo Kruschwitz, Christian Wolff",(missing journal),2025,(missing abstract),289561944,1,0,,
10.18653/v1/2025.xllm-1.9,Combining Automated and Manual Data for Effective Downstream Fine-Tuning of Transformers for Low-Resource Language Applications,"Ulyana Isaeva, Danil Astafurov, Nikita Martynov",(missing journal),2025,(missing abstract),289561958,0,0,,
10.18653/v1/2025.xllm-1.25,DocIE@XLLM25: ZeroSemble - Robust and Efficient Zero-Shot Document Information Extraction with Heterogeneous Large Language Model Ensembles,"Nguyen Le, An Thien, Son T. Luu, Kiet Van Nguyen",(missing journal),2025,(missing abstract),289575727,0,0,,
10.18653/v1/2025.xllm-1.32,Retrieval-Enhanced Few-Shot Prompting for Speech Event Extraction,M'at'e Gedeon,Proceedings of the 1st Joint Workshop on Large Language Models and Structure Modeling (XLLM 2025),2025,"Speech Event Extraction (SpeechEE) is a challenging task that lies at the intersection of Automatic Speech Recognition (ASR) and Natural Language Processing (NLP), requiring the identification of structured event information from spoken language. In this work, we present a modular, pipeline-based SpeechEE framework that integrates high-performance ASR with semantic search-enhanced prompting of Large Language Models (LLMs). Our system first classifies speech segments likely to contain events using a hybrid filtering mechanism including rule-based, BERT-based, and LLM-based models. It then employs few-shot LLM prompting, dynamically enriched via semantic similarity retrieval, to identify event triggers and extract corresponding arguments. We evaluate the pipeline using multiple LLMs (Llama3-8B, GPT-4o-mini, and o1-mini) highlighting significant performance gains with o1-mini, which achieves 63.3% F1 on trigger classification and 27.8% F1 on argument classification, outperforming prior benchmarks. Our results demonstrate that pipeline approaches, when empowered by retrieval-augmented LLMs, can rival or exceed end-to-end systems while maintaining interpretability and modularity. This work provides practical insights into LLM-driven event extraction and opens pathways for future hybrid models combining textual and acoustic features.",291989259,0,21,,
