DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.2139/ssrn.3901278,Carbonwashing: A New Type of Carbon Data-Related ESG Greenwashing,"S. In, K. Schumacher",Social Science Research Network,2021,"Despite the increased attention and capital incentives around corporate sustainability, the development of sustainability reporting standards and monitoring systems has been progressing at a slow pace. As a result, companies have misaligned incentives to deliberately or selectively communicate information not matched with actual environmental impacts or make largely unsubstantiated promises around future ambitions. These incidents are broadly called “greenwashing,” but there is no clear consensus on its definition and taxonomy. We pay particular attention to the threat of greenwashing concerning carbon emission reductions by coining a new term, “carbonwashing.” Since carbon mitigation is the universal goal, the corporate carbon performance data supply chain is relatively more advanced than that of the entire sustainability data landscape. Nonetheless, the threat of carbonwashing persists, even far more severe than general greenwashing due to the financial values attached to corporate carbon performance. This paper contextualizes sustainable finance-related carbonwashing via an outline of the communication as well as the measurement, reporting, and verification (MRV) of carbon emission mitigation performance. Moreover, it proposes several actionable policy recommendations on how industry stakeholders and government regulators can reduce carbonwashing risks.",56306111,38,60,,
10.3390/su12145687,Automated Sustainability Assessment System for Small and Medium Enterprises Reporting,"E. Kassem, O. Trenz",(missing journal),2020,"Sustainability assessment is a mainstream business activity that demonstrates the link between the organization’s strategy for and commitment to a sustainable global economy, and the prevention of economic crises. Small- and medium-sized businesses/enterprises (SMBs/SMEs) have significant effects on the European economy. However, because of a lot of restriction factors, like business risk, the high expenses of data collection and management, and the lack of resources, sustainability reporting is considered a superfluous and burdensome activity for them. The aim of this research is to propose an automated, comprehensive and simplified system for the sustainability assessment of SMEs. This system is achieved by implementing three main phases. The first phase includes key performance indicators design, which starts with the identification of various key performance indicators for comprehensive sustainability assessment, and ends with proposing an optimal set of KPIs (Key Performance Indicators) that can encompass long-term issues and be applicable to SMEs in the EU. The second phase involves a new comprehensive method of sustainability assessment for all KPIs designed in the first phase. Therefore, a multi-criteria model, which involves four main pillars of sustainability assessment (economic, environmental, social and governance), is proposed. It gives different enterprises the ability to verify and compare their efficiency and sustainability with other companies within the same sector in an almost automated manner. In the final phase, a simple and an automated information system (WEBRIS), which provides a suitable environment for SME sustainability reporting, is developed. Finally, this system is verified in a case study of the Czech breweries sector.",56315368,33,57,,
10.2139/ssrn.4229146,ClimateBert: A Pretrained Language Model for Climate-Related Text,"Nicolas Webersinke, Mathias Kraus, J. Bingler, Markus Leippold",Social Science Research Network,2021,"Over the recent years, large pretrained language models (LM) have revolutionized the field of natural language processing (NLP). However, while pretraining on general language has been shown to work very well for common language, it has been observed that niche language poses problems. In particular, climate-related texts include specific language that common LMs can not represent accurately. We argue that this shortcoming of today's LMs limits the applicability of modern NLP to the broad field of text processing of climate-related texts. As a remedy, we propose CLIMATEBERT, a transformer-based language model that is further pretrained on over 2 million paragraphs of climate-related texts, crawled from various sources such as common news, research articles, and climate reporting of companies. We find that CLIMATEBERT leads to a 48% improvement on a masked language model objective which, in turn, leads to lowering error rates by 3.57% to 35.71% for various climate-related downstream tasks like text classification, sentiment analysis, and fact-checking.",88594505,184,36,,
10.1007/s10115-010-0370-4,On ontology-driven document clustering using core semantic features,"Samah Jamal Fodeh, Bill Punch, Pang-Ning Tan",Knowledge and Information Systems,2011,"Incorporating semantic knowledge from an ontology into document clustering is an important but challenging problem. While numerous methods have been developed, the value of using such an ontology is still not clear. We show in this paper that an ontology can be used to greatly reduce the number of features needed to do document clustering. Our hypothesis is that polysemous and synonymous nouns are both relatively prevalent and fundamentally important for document cluster formation. We show that nouns can be efficiently identified in documents and that this alone provides improved clustering. We next show the importance of the polysemous and synonymous nouns in clustering and develop a unique approach that allows us to measure the information gain in disambiguating these nouns in an unsupervised learning setting. In so doing, we can identify a core subset of semantic features that represent a text corpus. Empirical results show that by using core semantic features for clustering, one can reduce the number of features by 90% or more and still produce clusters that capture the main themes in a text corpus.",131360891,109,43,,
10.1111/jifm.12156,"Be good to be wise: Environmental, Social, and Governance awareness as a potential credit risk mitigation factor","Marina Brogi, Valentina Lagasio, Pasqualina Porretta",Journal of International Financial Management and Accounting,2022,"Integrating Environmental, Social, and Governance (ESG) factors into credit risk assessment is the new frontier for credit risk management as regulators and investors increasingly require banks to channel loans to “sustainable” borrowers and ultimately foster sustainable growth. Our findings show that higher ESG awareness is strongly associated with better creditworthiness (proxied by the Altman Z-score). We apply a two-step methodology to 3331 companies from various industries and geographies in the 2000–2016 period which reveals that high ESG awareness scores are strongly and very significantly associated with a reduction in firm credit risk. We check the robustness by using the Probability of Default as a dependent variable and an instrumental variable constructed with a factor analysis. Our results support the appropriateness of the introduction of ESG awareness parameters in the creditworthiness assessment of borrowers.",134910077,83,20,,
10.1108/aaaj-04-2012-00998,Sustainability reports as simulacra? A counter-account of A and A+ GRI reports,O. Boiral,(missing journal),2013,"Purpose - – The purpose of this paper is to examine the extent to which sustainability reporting can be viewed as a simulacrum used to camouflage real sustainable-development problems and project an idealized view of the firms' situations. Design/methodology/approach - – The method was based on the content analysis and counter accounting of 23 sustainability reports from firms in the energy and mining sectors which had received application levels of A or A+ from the Global Reporting Initiative (GRI). The information disclosed in some 2,700 pages of reports was structured around 92 GRI indicators and compared with 116 significant news events that clearly addressed the responsibility of these firms in sustainable development problems. Moreover, the 1,258 pictures included in sustainability reports were categorized into recurring themes from an inductive perspective. Findings - – A total of 90 per cent of the significant negative events were not reported, contrary to the principles of balance, completeness and transparency of GRI reports. Moreover, the pictures included in these reports showcase various simulacra clearly disconnected with the impact of business activities. Originality/value - – The paper shows the relevance of the counter accounting approach in assessing the quality of sustainability reports and question the reliability of the GRI's A or A+ application levels. It contributes to debates concerning the transparency of sustainability reports in light of Debord's and Baudrillard's critical perspective. The paper reveals the underexplored role of images in the emergence of several types of simulacra.",169261273,647,73,,
10.1007/s40593-020-00211-5,Automated Essay Scoring and the Deep Learning Black Box: How Are Rubric Scores Determined?,"Vivekanandan Kumar, David Boulanger",International Journal of Artificial Intelligence in Education,2021,"This article investigates the feasibility of using automated scoring methods to evaluate the quality of student-written essays. In 2012, Kaggle hosted an Automated Student Assessment Prize contest to find effective solutions to automated testing and grading. This article: a) analyzes the datasets from the contest – which contained hand-graded essays – to measure their suitability for developing competent automated grading tools; b) evaluates the potential for deep learning in automated essay scoring (AES) to produce sophisticated testing and grading algorithms; c) advocates for thorough and transparent performance reports on AES research, which will facilitate fairer comparisons among various AES systems and permit study replication; d) uses both deep neural networks and state-of-the-art NLP tools to predict finer-grained rubric scores, to illustrate how rubric scores are determined from a linguistic perspective, and to uncover important features of an effective rubric scoring model. This study’s findings first highlight the level of agreement that exists between two human raters for each rubric as captured in the investigated essay dataset, that is, 0.60 on average as measured by the quadratic weighted kappa (QWK). Only one related study has been found in the literature which also performed rubric score predictions through models trained on the same dataset. At best, the predictive models had an average agreement level (QWK) of 0.53 with the human raters, below the level of agreement among human raters. In contrast, this research’s findings report an average agreement level per rubric with the two human raters’ resolved scores of 0.72 (QWK), well beyond the agreement level between the two human raters. Further, the AES system proposed in this article predicts holistic essay scores through its predicted rubric scores and produces a QWK of 0.78, a competitive performance according to recent literature where cutting-edge AES tools generate agreement levels between 0.77 and 0.81, results computed as per the same procedure as in this article. This study’s AES system goes one step further toward interpretability and the provision of high-level explanations to justify the predicted holistic and rubric scores. It contends that predicting rubric scores is essential to automated essay scoring, because it reveals the reasoning behind AIED-based AES systems. Will building AIED accountability improve the trustworthiness of the formative feedback generated by AES? Will AIED-empowered AES systems thoroughly mimic, or even outperform, a competent human rater? Will such machine-grading systems be subjected to verification by human raters, thus paving the way for a human-in-the-loop assessment mechanism? Will trust in new generations of AES systems be improved with the addition of models that explain the inner workings of a deep learning black box? This study seeks to expand these horizons of AES to make the technique practical, explainable, and trustable.",207741506,82,46,,
10.1007/s42495-022-00084-7,Effects of firm-level ESG performance on creditworthiness in Japanese listed companies,"Hiroaki Kambe, Masatoshi Tamamura",(missing journal),2022,"Against a backdrop of international public policies on sustainability such as SDGs, sustainable investment assets in the world stood at $30.7 trillion in 2018. In conjunction with the developing market of sustainable investment, academic research has proved that ESG performances positively affect financial performances in many cases. However, most of the previous studies have not analysed linkages between ESG performances and debt financing, nor have they targeted Asian markets. Thus, the purpose of this study is to analyse the effects of ESG performances on creditworthiness in Japanese companies. This empirical analysis used the ordered logit model where the dependent variable is S&P Credit Ratings, and the independent variables are ESG evaluations by Arabesque S-Ray. We used data for CY2019, and our final sample included 15 independent variables for 63 observations: 945 items were under the analysis. In result, we found that ESG total performance and governance performance positively affect a company’s creditworthiness, whilst there were no significant results concerning social and environmental performance. Therefore, business companies should consider improving governance performance for better credit ratings and financial institutions should consider governance performance in credit analysis. We also found that the effects of ESG total performance may change depending on whether ESG evaluations are based on financially material ESG issues, and that the effects of ESG total performance and pillar performances (environment, social, and governance, respectively) may differ. ESG evaluation agencies are recommended to disclose pillar performance evaluations with details of methodology for investors to consider ESG evaluations in investment decisions.",233301715,3,26,,
10.18653/v1/2022.findings-acl.285,Incorporating Dynamic Semantics into Pre-Trained Language Model for Aspect-based Sentiment Analysis,"Kai Zhang, Kunpeng Zhang, Mengdi Zhang, Hongke Zhao, Qi Liu, Wei Yu Wu, Enhong Chen",Findings,2022,"Aspect-based sentiment analysis (ABSA) predicts sentiment polarity towards a specific aspect in the given sentence. While pre-trained language models such as BERT have achieved great success, incorporating dynamic semantic changes into ABSA remains challenging. To this end, in this paper, we propose to address this problem by Dynamic Re-weighting BERT (DR-BERT), a novel method designed to learn dynamic aspect-oriented semantics for ABSA. Specifically, we first take the Stack-BERT layers as a primary encoder to grasp the overall semantic of the sentence and then fine-tune it by incorporating a lightweight Dynamic Re-weighting Adapter (DRA). Note that the DRA can pay close attention to a small region of the sentences at each step and re-weigh the vitally important words for better aspect-aware sentiment understanding. Finally, experimental results on three benchmark datasets demonstrate the effectiveness and the rationality of our proposed model and provide good interpretable insights for future semantic modeling.",245348532,64,64,,
10.3390/su15010309,"Technologies Empowered Environmental, Social, and Governance (ESG): An Industry 4.0 Landscape","Archana B. Saxena, Rajesh Singh, Anita Gehlot, S. Akram, Bhekisipho Twala, Aman Singh, Elisabeth Caro Montero, Neeraj Priyadarshi",Sustainability,2022,"Currently, sustainability is a vital aspect for every nation and organization to accomplish Sustainable Development Goals (SDGs) by 2030. Environmental, social, and governance (ESG) metrics are used to evaluate the sustainability level of an organization. According to the statistics, 53% of respondents in the BlackRock survey are concerned about the availability of low ESG data, which is critical for determining the organization’s sustainability level. This obstacle can be overcome by implementing Industry 4.0 technologies, which enable real-time data, data authentication, prediction, transparency, authentication, and structured data. Based on the review of previous studies, it was determined that only a few studies discussed the implementation of Industry 4.0 technologies for ESG data and evaluation. The objective of the study is to discuss the significance of ESG data and report, which is used for the evaluation of the sustainability of an organization. In this regard, the assimilation of Industry 4.0 technologies (Internet of Things (IoT), artificial intelligence (AI), blockchain, and big data for obtaining ESG data by an organization is detailed presented to study the progress of advancement of these technologies for ESG. On the basis of analysis, this study concludes that consumers are concerned about the ESG data, as most organizations develop inaccurate ESG data and suggest that these digital technologies have a crucial role in framing an accurate ESG report. After analysis a few vital conclusions are drawn such as ESG investment has benefited from AI capabilities, which previously relied on self-disclosed, annualized company information that was susceptible to inherent data issues and biases. Finally, the article discusses the vital recommendations that can be implemented for future work.",250761530,129,73,,
