label,clean_bibtex,type,title,author,year,journal_type,,conferences type,location,page,url,filename
,jiang-etal-2025-makes,inproceedings,What Makes a Good Reasoning Chain? Uncovering Structural Patterns in Long Chain-of-Thought Reasoning,"Jiang, Gangweiand Liu, Yahuiand Li, Zhaoyiand Bi, Wei and Zhang, Fuzhengand Song, Linqiand Wei, Yingand Lian, Defu",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",6490--6514,https://aclanthology.org/2025.emnlp-main.329/,2025.emnlp-main.bib
entity_disambiguation_enhancement_complex_claim,pham-etal-2025-verify,inproceedings,Verify-in-the-Graph: Entity Disambiguation Enhancement for Complex Claim Verification with Interactive Graph Representation,"Pham, Hoang and Nguyen, Thanh-Do and Bui, Khac-Hoai Nam",2025,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),,Association for Computational Linguistics,"Albuquerque, New Mexico",5181--5197,https://aclanthology.org/2025.naacl-long.268/,2025.naacl-long.bib
two_heads_are_better_than_one_dual_model_verbal_reflection_at_inference_time,li-etal-2025-two,inproceedings,Two Heads Are Better Than One: Dual-Model Verbal Reflection at Inference-Time,"Li, Jiazheng and Zhou, Yuxiangand Lu, Junru and Tyen, Gladys and Gui, Lin and Aloisi, Cesareand He, Yulan",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",3119--3140,https://aclanthology.org/2025.emnlp-main.155/,2025.emnlp-main.bib
unifying_label_space_aspect_sentence,zhang-etal-2022-towards,inproceedings,Towards Unifying the Label Space for Aspect- and Sentence-based Sentiment Analysis,"Zhang, Yimingand Zhang, Minand Wu, Sai and Zhao, Junbo",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",20--30,https://aclanthology.org/2022.findings-acl.3/,2022.findings-acl.bib
towards_ai_assisted_psychotherapy_emotion_guided_generative_interventions,haydarov-etal-2025-towards,inproceedings,Towards {AI}-Assisted Psychotherapy: Emotion-Guided Generative Interventions,"Haydarov, Kilichbek and Mohamed, Youssef and Goldenhersch, Emilio and OCallaghan, Pauland Li, Li-jia and Elhoseiny, Mohamed",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",32736--32755,https://aclanthology.org/2025.emnlp-main.1664/,2025.emnlp-main.bib
theorem_validated_reverse_chain_of_thought_problem_generation,linger-etal-2025-theorem,inproceedings,Theorem-Validated Reverse Chain-of-Thought Problem Generation for Geometric Reasoning,"Linger, Deng and Zhu, Linghao and Liu, Yuliang and Wang, Yu and Xie, Qunyi and Wu, Jingjing and Zhang, Gang and Zhu, Yingyingand Bai, Xiang",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",718--735,https://aclanthology.org/2025.emnlp-main.38/,2025.emnlp-main.bib
single_ground_truth_is_not_enough_adding_flexibility_to_aspect_based_sentiment_analysis,yang-etal-2025-single,inproceedings,Single Ground Truth Is Not Enough: Adding Flexibility to Aspect-Based Sentiment Analysis Evaluation,"Yang, Soyoungand Cho, Hojunand Lee, Jiyoungand Yoon, Soheeand Choi, Edward and Choo, Jaegul and Cho, Won Ik",2025,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),,Association for Computational Linguistics,"Albuquerque, New Mexico",12071--12096,https://aclanthology.org/2025.naacl-long.603/,2025.naacl-long.bib
self_harmonized_chain_of_thought,jin-lu-2025-self,inproceedings,Self-Harmonized Chain of Thought,"Jin, Ziqi and Lu, Wei",2025,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),,Association for Computational Linguistics,"Albuquerque, New Mexico",1153--1174,https://aclanthology.org/2025.naacl-long.53/,2025.naacl-long.bib
s1_simple_test_time_scaling,muennighoff-etal-2025-s1,inproceedings,s1: Simple test-time scaling,"Muennighoff, Niklas and Yang, Zitong and Shi, Weijia and Li, Xiang Lisa and Fei-Fei, Li and Hajishirzi, Hannaneh and Zettlemoyer, Luke and Liang, Percy and Candes, Emmanuel and Hashimoto, Tatsunori",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",20275--20321,https://aclanthology.org/2025.emnlp-main.1025/,2025.emnlp-main.bib
reward_model_perspectives_whose_opinions_do_reward_models_reward,elle-2025-reward,inproceedings,Reward Model Perspectives: Whose Opinions Do Reward Models Reward?,Elle,2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",14920--14944,https://aclanthology.org/2025.emnlp-main.754/,2025.emnlp-main.bib
,wu-etal-2025-rewordbench,inproceedings,re{W}ord{B}ench: Benchmarking and Improving the Robustness of Reward Models with Transformed Inputs,"Wu, Zhaofengand Yasunaga, Michihiro and Cohen, Andrewand Kim, Yoonand Celikyilmaz, Asli and Ghazvininejad, Marjan",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",3383--3409,https://aclanthology.org/2025.emnlp-main.167/,2025.emnlp-main.bib
parallel_continuous_chain_of_thought_with_jacobi_iteration,wu-etal-2025-parallel,inproceedings,Parallel Continuous Chain-of-Thought with Jacobi Iteration,"Wu, Haoyi and Teng, Zhihao and Tu, Kewei",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",914--926,https://aclanthology.org/2025.emnlp-main.47/,2025.emnlp-main.bib
on_the_impact_of_fine_tuning_on_chain_of_thought_reasoning,lobo-etal-2025-impact,inproceedings,On the Impact of Fine-Tuning on Chain-of-Thought Reasoning,"Lobo, Elita and Agarwal, Chiragand Lakkaraju, Himabindu",2025,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),,Association for Computational Linguistics,"Albuquerque, New Mexico",11679--11698,https://aclanthology.org/2025.naacl-long.584/,2025.naacl-long.bib
measuring_chain_of_thought_faithfulness_by_unlearning_reasoning_steps,tutek-etal-2025-measuring,inproceedings,Measuring Chain of Thought Faithfulness by Unlearning Reasoning Steps,"Tutek, Martin and Hashemi Chaleshtori, Fateme and Marasovic, Anaand Belinkov, Yonatan",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",9935--9960,https://aclanthology.org/2025.emnlp-main.504/,2025.emnlp-main.bib
long_chain_of_thought_fine_tuning_via_understanding_to_reasoning_transition,an-etal-2025-long,inproceedings,Long Chain-of-Thought Fine-tuning via Understanding-to-Reasoning Transition,"An, Chenxin and Xie, Zhihui and Li, Xiaonan and Zhong, Ming and Gong, Shansanand Li, Lei and Zhang, Jun and Xu, Jingjing and Kong, Lingpeng",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",34518--34534,https://aclanthology.org/2025.emnlp-main.1751/,2025.emnlp-main.bib
know_your_mistakes_towards_preventing_overreliance_on_task_oriented,dey-etal-2025-know,inproceedings,Know Your Mistakes: Towards Preventing Overreliance on Task-Oriented Conversational {AI} Through Accountability Modeling,"Dey, Suvodip and Sun, Yi-Jyun and Tur, Gokhan and Hakkani-T{\""u}r, Dilek",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",28830--28843,https://aclanthology.org/2025.acl-long.1399/,2025.acl-long.bib
inter_sentence_context_modeling_structure,zhang-etal-2025-inter,inproceedings,Inter-sentence Context Modeling and Structure-aware Representation Enhancement for Conversational Sentiment Quadruple Extraction,"Zhang, Yu and Zhong, Zhaomanand Lv, Huihui",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",17149--17159,https://aclanthology.org/2025.emnlp-main.867/,2025.emnlp-main.bib
incorporating_dynamic_semantics_into_pre_trained_language_model_for_aspect_based_sentiment_analysis,zhang-etal-2022-incorporating,inproceedings,Incorporating Dynamic Semantics into Pre-Trained Language Model for Aspect-based Sentiment Analysis,"Zhang, Kai and Zhang, Kun and Zhang, Mengdiand Zhao, Hongke and Liu, Qi and Wu, Weiand Chen, Enhong",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",3599--3610,https://aclanthology.org/2022.findings-acl.285/,2022.findings-acl.bib
improving_neural_political_statement_classification_with_class_hierarchical_information,dayanik-etal-2022-improving,inproceedings,Improving Neural Political Statement Classification with Class Hierarchical Information,"Dayanik, Erenayand Blessing, Andre and Blokker, Nicoand Haunss, Sebastian and Kuhn, Jonas and Lapesa, Gabriellaand Pado, Sebastian",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",2367--2382,https://aclanthology.org/2022.findings-acl.186/,2022.findings-acl.bib
graph_guided_textual_explanation_generation_framework,yuan-etal-2025-graph,inproceedings,Graph-Guided Textual Explanation Generation Framework,"Yuan, Shuzhouand Sun, Jingyiand Zhang, Ranand F{\""a}rber, Michael and Eger, Steffen and Atanasova, Pepaand Augenstein, Isabelle",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",29362--29386,https://aclanthology.org/2025.emnlp-main.1494/,2025.emnlp-main.bib
from_long_to_lean_performance_aware_and_adaptive_chain_of_thought_compression_via_multi_round_refinement,yan-etal-2025-long,inproceedings,From Long to Lean: Performance-aware and Adaptive Chain-of-Thought Compression via Multi-round Refinement,"Yan, JianZhi and Liu, Le and Pan, Youcheng and Chen, Shiwei and Yuan, Zike and Xiang, Yang and Tang, Buzhou",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",12279--12295,https://aclanthology.org/2025.emnlp-main.618/,2025.emnlp-main.bib
fine_tuning_on_diverse_reasoning_chains_drives_within_inference_cot_refinement_in_llms,puerto-etal-2025-fine,inproceedings,Fine-Tuning on Diverse Reasoning Chains Drives Within-Inference {C}o{T} Refinement in {LLM}s,"Puerto, Haritzand Chubakov, Tilek and Zhu, Xiaodan and Tayyar Madabushi, Harish and Gurevych, Iryna",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",3789--3808,https://aclanthology.org/2025.acl-long.191/,2025.acl-long.bib
