keyword,score
translation,3.9930940278375266
machine,3.255557752554133
machine translation,3.2200542651781445
mt,2.5314308879931793
neural,2.449076429342944
neural machine,1.9638662152223518
quality,1.7156685937030003
nmt,1.6982436394870901
learning,1.6613404804903578
editing,1.552113268530719
project,1.5518969450096418
language,1.50531695090467
human,1.4664793436547743
post,1.3862100310920613
post editing,1.3862100310920613
nglish,1.2565565476740097
evaluation,1.052925989121918
estimation,0.9163283172017573
translation quality,0.903865011955143
translations,0.9019810528150765
uropean,0.8512467111250932
source,0.8370492140564361
domain,0.8281435833174293
user,0.8201344724652821
layer,0.7892469077807651
study,0.7613766062460902
multilingual,0.7581594522023195
quality estimation,0.7422419601193038
analysis,0.7323104270566074
transfer learning,0.7040824301573947
