keyword,score
language,1397.6749052747878
models,1156.6424758764706
language models,977.820166473315
large,802.3292423424807
llm,767.0809024227354
large language,719.4108784913033
learning,649.1882588687869
text,623.4932436394128
based,597.2779120452697
generation,572.6088736964266
task,543.3920292345531
model,517.7025147654341
multi,516.8006331524625
translation,516.0154500264692
knowledge,479.56076182220875
data,460.206725054191
detection,452.74194824526944
reasoning,425.3928479376144
evaluation,395.3808642897652
multilingual,395.231242322851
machine,392.9477644562466
using,390.3344225747092
dataset,373.99661481166623
retrieval,351.9299336626889
speech,345.1380276451324
val,335.9455250601716
analysis,334.37644659506196
question,329.438411841062
context,326.43563386694126
machine translation,323.13619336459146
multimodal,321.613390384848
training,317.53917363660344
em,306.95791401297356
extraction,302.4629816518351
em val,298.00972867479885
cross,294.73532581611084
classification,287.86556710949884
neural,287.36240061409444
shot,286.9383250543511
framework,286.72165809928003
language model,286.1910109540042
efficient,281.03557195296986
understanding,278.58527968857896
domain,275.6318544035537
answering,272.9832446926269
evaluating,272.81938720297615
tuning,269.6516844515328
benchmark,268.57145128149904
fine,266.78063608954193
semantic,264.0358975634519
